team1,team2,score1,score2,date
La Salle,Delaware,82,85,2021-11-17
Michigan St.,Butler,73,52,2021-11-17
Rider,Bucknell,74,81,2021-11-17
Toledo,Oakland,59,80,2021-11-17
Stetson,Miami (OH),65,80,2021-11-17
Marist,Princeton,61,80,2021-11-17
Charleston So.,Wake Forest,59,95,2021-11-17
Loyola Maryland,Coppin St.,49,71,2021-11-17
Drexel,Saint Josephs,78,75,2021-11-17
Harvard,Albany (NY),60,53,2021-11-17
George Mason,Maryland,71,66,2021-11-17
Lipscomb,Dayton,78,59,2021-11-17
Binghamton,Columbia,77,85,2021-11-17
Kansas Christian,Kansas City,36,99,2021-11-17
Oklahoma St.,NC State,74,68,2021-11-17
Omaha,Kansas St.,64,79,2021-11-17
Detroit Mercy,Mississippi St.,64,77,2021-11-17
Montana St.,South Dakota St.,74,91,2021-11-17
VCU,Vanderbilt,48,37,2021-11-17
Xavier (LA),Louisiana,72,84,2021-11-17
Central Ark.,Baylor,47,92,2021-11-17
Tulane,Florida St.,54,59,2021-11-17
UNI,Arkansas,80,93,2021-11-17
Northern Colo.,Texas,49,62,2021-11-17
Missouri St.,Sam Houston,77,55,2021-11-17
Valparaiso,Stanford,60,74,2021-11-17
Texas Southern,Air Force,57,61,2021-11-17
Prairie View,Grand Canyon,64,91,2021-11-17
St. Johns (NY),Indiana,74,76,2021-11-17
George Fox,Portland St.,58,104,2021-11-17
Utah Valley,Long Beach St.,84,78,2021-11-17
Bellarmine,Saint Marys (CA),64,73,2021-11-17
UC Davis,Pepperdine,67,72,2021-11-17
Little Rock,LMU (CA),63,82,2021-11-17
UC Riverside,San Diego,62,74,2021-11-17
North Florida,UCLA,63,98,2021-11-17
Davidson,New Mexico St.,64,75,2021-11-18
St. Bonaventure,Boise St.,67,61,2021-11-18
Penn,Utah St.,79,87,2021-11-18
Green Bay,UNC Greensboro,58,60,2021-11-18
Clemson,Temple,75,48,2021-11-18
Wheeling,Akron,38,99,2021-11-18
Massachusetts,Weber St.,73,88,2021-11-18
Greensboro,N.C. A&T,69,77,2021-11-18
Milwaukee,Florida,45,81,2021-11-18
Charlotte,App State,67,66,2021-11-18
New Hampshire,Providence,58,69,2021-11-18
Ohio St.,Xavier,65,71,2021-11-18
Saginaw Valley,Western Mich.,80,63,2021-11-18
Coastal Carolina,UNCW,53,65,2021-11-18
Oklahoma,East Carolina,79,74,2021-11-18
Boston U.,Hartford,75,70,2021-11-18
Presbyterian,Cincinnati,45,79,2021-11-18
Alabama St.,Iowa,82,108,2021-11-18
Marquette,Ole Miss,78,72,2021-11-18
USC Upstate,ETSU,43,56,2021-11-18
Tennessee Tech,UNC Asheville,55,61,2021-11-18
Carver,The Citadel,49,102,2021-11-18
Campbell,Marshall,67,65,2021-11-18
SUNY Poly,Colgate,50,97,2021-11-18
UAB,South Carolina,63,66,2021-11-18
St. Francis Brooklyn,Penn St.,59,74,2021-11-18
Eastern Mich.,Northern Ky.,73,74,2021-11-18
Transylvania,Morehead St.,59,84,2021-11-18
Stony Brook,Kansas,59,88,2021-11-18
Ball St.,FIU,60,73,2021-11-18
McNeese,LSU,46,85,2021-11-18
Southeastern La.,SMU,61,78,2021-11-18
Rockford,Eastern Ill.,64,96,2021-11-18
Nicholls,TCU,50,63,2021-11-18
Haskell,Oral Roberts,46,89,2021-11-18
CSU Bakersfield,Northern Ariz.,64,74,2021-11-18
UT Arlington,North Texas,36,64,2021-11-18
Saint Francis (PA),Virginia Tech,55,85,2021-11-18
NIU,Missouri,37,54,2021-11-18
Rutgers,DePaul,70,73,2021-11-18
Washington St.,Idaho,109,61,2021-11-18
Samford,Oregon St.,78,77,2021-11-18
Indiana St.,Old Dominion,77,36,2021-11-18
Fairleigh Dickinson,Northwestern,46,82,2021-11-18
Presentation,South Dakota St.,62,99,2021-11-18
Elon,West Virginia,68,87,2021-11-18
Southern Utah,California,68,75,2021-11-18
Morgan St.,Seattle U,80,93,2021-11-18
Ark.-Pine Bluff,Portland,74,86,2021-11-18
San Jose St.,California Baptist,66,67,2021-11-18
Arizona St.,San Diego St.,63,65,2021-11-18
Nevada,San Francisco,70,73,2021-11-18
Wyoming,Washington,77,72,2021-11-18
St. Andrews,South Carolina St.,53,67,2021-11-18
New Mexico St.,Utah St.,58,85,2021-11-19
Boise St.,Temple,82,62,2021-11-19
Bradley,Colorado St.,60,66,2021-11-19
Texas St.,Dixie St.,85,65,2021-11-19
St. Bonaventure,Clemson,68,65,2021-11-19
Davidson,Penn,72,60,2021-11-19
Troy,North Dakota,72,74,2021-11-19
UNC Greensboro,Massachusetts,90,93,2021-11-19
Brown,Creighton,57,78,2021-11-19
Yale,Vermont,53,61,2021-11-19
Eastern Wash.,CSUN,67,64,2021-11-19
Liberty,Iona,50,54,2021-11-19
American,Longwood,42,82,2021-11-19
Oklahoma,Indiana St.,87,63,2021-11-19
St. Thomas (MN),Youngstown St.,75,79,2021-11-19
Norfolk St.,Bowling Green,90,84,2021-11-19
Weber St.,Ball St.,85,74,2021-11-19
Northeastern,Duquesne,71,55,2021-11-19
Towson,Pittsburgh,59,63,2021-11-19
UT Martin,Fla. Atlantic,67,75,2021-11-19
Hofstra,Maryland,67,69,2021-11-19
Siena,Georgetown,65,83,2021-11-19
Belmont,Kennesaw St.,97,78,2021-11-19
Mount St. Marys,Robert Morris,74,70,2021-11-19
Auburn,South Fla.,58,52,2021-11-19
George Mason,James Madison,64,67,2021-11-19
UMass Lowell,George Washington,67,56,2021-11-19
Ohio,Kentucky,59,77,2021-11-19
Me.-Fort Kent,Maine,43,75,2021-11-19
Marquette,West Virginia,82,71,2021-11-19
Purdue Fort Wayne,Minnesota,49,78,2021-11-19
UMES,Fordham,75,73,2021-11-19
Lehigh,Merrimack,45,55,2021-11-19
Coppin St.,Virginia,52,68,2021-11-19
Radford,Furman,64,81,2021-11-19
Wells,Cornell,48,107,2021-11-19
Idaho St.,Nebraska,60,78,2021-11-19
Middle Tenn.,SFA,74,87,2021-11-19
Hampton,Wofford,60,77,2021-11-19
Arkansas St.,Southeast Mo. St.,72,60,2021-11-19
North Ala.,Manhattan,51,55,2021-11-19
East Carolina,Old Dominion,73,60,2021-11-19
Niagara,SIUE,70,60,2021-11-19
Stetson,Lamar University,60,59,2021-11-19
Southern Ill.,Colorado,67,63,2021-11-19
FIU,Green Bay,63,60,2021-11-19
Rice,New Orleans,83,78,2021-11-19
Paul Quinn,Tarleton St.,42,69,2021-11-19
Southern U.,South Dakota,68,71,2021-11-19
UMBC,Western Caro.,91,75,2021-11-19
Western Ky.,Memphis,62,74,2021-11-19
Oakland,Alabama,59,86,2021-11-19
Lafayette,Duke,55,88,2021-11-19
Louisiana Tech,Northwestern St.,83,64,2021-11-19
Bellarmine,Gonzaga,50,92,2021-11-19
Georgia Tech,Georgia,88,78,2021-11-19
Cal Poly,Santa Clara,57,87,2021-11-19
Ole Miss,Elon,74,56,2021-11-19
UTEP,Pacific,73,64,2021-11-19
Cal St. Fullerton,San Diego,57,55,2021-11-19
Wichita St.,Arizona,78,82,2021-11-19
UNLV,Michigan,61,74,2021-11-20
Monmouth,Saint Josephs,87,75,2021-11-20
Bryant,Bethune-Cookman,75,81,2021-11-20
Binghamton,UConn,63,87,2021-11-20
Richmond,Drake,70,73,2021-11-20
Stanford,Baylor,48,86,2021-11-20
Villanova,Tennessee,71,53,2021-11-20
Central Conn. St.,Quinnipiac,65,76,2021-11-20
MIT,Harvard,52,98,2021-11-20
Detroit Mercy,Louisville,67,73,2021-11-20
SIUE,Youngstown St.,69,66,2021-11-20
Heidelberg,Miami (OH),45,90,2021-11-20
Rider,Buffalo,65,87,2021-11-20
Howard,High Point,63,73,2021-11-20
Webber Intl,North Florida,43,103,2021-11-20
UCF,Evansville,75,59,2021-11-20
Northern Ariz.,UTRGV,89,87,2021-11-20
Canisius,Cleveland St.,70,80,2021-11-20
Austin Peay,Dayton,87,81,2021-11-20
CMSV,Columbia,62,87,2021-11-20
Holy Cross,Air Force,53,72,2021-11-20
Dixie St.,CSUN,73,79,2021-11-20
UT Martin,Troy,67,80,2021-11-20
Bob Jones,Charleston So.,63,119,2021-11-20
Bradley,Brown,62,65,2021-11-20
Army West Point,La Salle,58,61,2021-11-20
UIC,Loyola Chicago,63,80,2021-11-20
Chattanooga,VCU,56,54,2021-11-20
N.C. A&T,Wake Forest,63,87,2021-11-20
Montana St.,New Mexico,78,81,2021-11-20
Chicago St.,UC Santa Barbara,50,81,2021-11-20
Mobile,South Alabama,45,78,2021-11-20
Carver,Gardner-Webb,38,100,2021-11-20
UNCW,Delaware St.,67,63,2021-11-20
Purdue,North Carolina,93,84,2021-11-20
Oral Roberts,Central Ark.,67,70,2021-11-20
St. Thomas (MN),Niagara,76,67,2021-11-20
Colgate,Syracuse,100,85,2021-11-20
Eastern Mich.,Michigan St.,59,83,2021-11-20
UMBC,Longwood,55,82,2021-11-20
Utah,Boston College,68,61,2021-11-20
Radford,Navy,33,47,2021-11-20
Texas Tech,UIW,84,62,2021-11-20
Hampton,Ga. Southern,66,86,2021-11-20
Mercer,Saint Louis,58,75,2021-11-20
VMI,Marist,74,78,2021-11-20
Georgia St.,William & Mary,77,59,2021-11-20
Duquesne,Colorado,76,84,2021-11-20
Manhattan,Liberty,76,60,2021-11-20
San Jose St.,Texas,45,79,2021-11-20
North Dakota,Fla. Atlantic,79,98,2021-11-20
Fairleigh Dickinson,St. Johns (NY),74,87,2021-11-20
Bethesda (CA),UC Riverside,57,95,2021-11-20
Bucknell,Illinois St.,100,105,2021-11-20
Albany (NY),Eastern Ky.,64,77,2021-11-20
Iona,North Ala.,81,65,2021-11-20
Tulsa,Rhode Island,77,71,2021-11-20
Western Caro.,American,80,79,2021-11-20
Winthrop,Vanderbilt,63,77,2021-11-20
N.C. Central,Alabama St.,74,80,2021-11-20
Fairfield,Sacred Heart,71,61,2021-11-20
Western Ill.,DePaul,80,84,2021-11-20
Morgan St.,Portland,63,74,2021-11-20
Pepperdine,UC Irvine,48,82,2021-11-20
Omaha,Montana,47,68,2021-11-20
Central Methodist,BYU,61,97,2021-11-20
UC San Diego,Sacramento St.,71,56,2021-11-20
UT Arlington,San Diego St.,62,68,2021-11-20
Texas St.,Eastern Wash.,81,74,2021-11-20
Temple,Elon,75,58,2021-11-21
Boston U.,NIU,76,58,2021-11-21
Green Bay,Weber St.,58,68,2021-11-21
Norfolk St.,Xavier,48,88,2021-11-21
Bryant,Holy Cross,78,62,2021-11-21
Penn,Old Dominion,71,63,2021-11-21
St. Thomas (MN),SIUE,86,73,2021-11-21
Villanova,Purdue,74,80,2021-11-21
Boise St.,Ole Miss,60,50,2021-11-21
UT Martin,North Dakota,77,72,2021-11-21
Georgia St.,High Point,74,66,2021-11-21
Air Force,Bethune-Cookman,73,65,2021-11-21
Little Rock,Sam Houston,59,77,2021-11-21
Ball St.,Massachusetts,89,86,2021-11-21
Navy,Furman,77,66,2021-11-21
Morehead St.,Mississippi St.,46,66,2021-11-21
Princeton,Oregon St.,81,80,2021-11-21
Lamar University,Southern Miss.,75,82,2021-11-21
Alabama A&M,UAB,41,86,2021-11-21
Tennessee St.,South Dakota,66,83,2021-11-21
Utah St.,Oklahoma,73,70,2021-11-21
Western Caro.,Longwood,64,53,2021-11-21
Tennessee,North Carolina,89,72,2021-11-21
Niagara,Youngstown St.,58,53,2021-11-21
Houston Baptist,Denver,61,74,2021-11-21
A&M-Corpus Christi,UTSA,77,58,2021-11-21
Merrimack,Virginia Tech,43,72,2021-11-21
Jackson St.,Marshall,66,80,2021-11-21
Southern U.,Nebraska,59,82,2021-11-21
Ga. Southern,Wofford,52,70,2021-11-21
UNC Greensboro,FIU,71,74,2021-11-21
Howard,William & Mary,82,76,2021-11-21
Clemson,West Virginia,59,66,2021-11-21
Boston College,Rhode Island,65,71,2021-11-21
Florida St.,LMU (CA),73,45,2021-11-21
Colorado St.,Creighton,95,81,2021-11-21
Davidson,East Carolina,76,67,2021-11-21
Eckerd,FGCU,59,99,2021-11-21
Texas Southern,NC State,57,65,2021-11-21
Grambling,Iowa St.,47,82,2021-11-21
Louisiana,Indiana,44,76,2021-11-21
St. Bonaventure,Marquette,70,54,2021-11-21
Utah,Tulsa,72,58,2021-11-21
Northeastern,Southern Ill.,59,47,2021-11-21
Florida A&M,Miami (FL),59,86,2021-11-21
Missouri,SMU,80,75,2021-11-21
New Mexico St.,Indiana St.,80,66,2021-11-21
Michigan,Arizona,62,80,2021-11-21
Northern Colo.,California Baptist,70,74,2021-11-21
Wichita St.,UNLV,74,73,2021-11-22
NIU,Little Rock,60,67,2021-11-22
Evansville,Rice,104,109,2021-11-22
Kent St.,James Madison,74,69,2021-11-22
Charlotte,Toledo,86,98,2021-11-22
Bradley,Duquesne,70,78,2021-11-22
Boston U.,Sam Houston,72,59,2021-11-22
Texas A&M,Wisconsin,58,69,2021-11-22
Oakland,Vermont,63,61,2021-11-22
Tulane,Drexel,90,87,2021-11-22
Wright St.,George Washington,63,74,2021-11-22
Nicholls,Cal Poly,75,72,2021-11-22
Northwestern St.,ULM,66,96,2021-11-22
Brown,Colorado,52,54,2021-11-22
Butler,Houston,52,70,2021-11-22
Fordham,Akron,63,43,2021-11-22
Idaho,Utah Valley,45,83,2021-11-22
Jacksonville St.,Valparaiso,70,78,2021-11-22
Murray St.,ETSU,58,66,2021-11-22
Creighton,Southern Ill.,66,64,2021-11-22
Seton Hall,Ohio St.,76,79,2021-11-22
LMU (CA),SMU,76,70,2021-11-22
Cornell,Penn St.,74,85,2021-11-22
Illinois,Cincinnati,51,71,2021-11-22
Sacred Heart,Stony Brook,72,75,2021-11-22
Virginia,Georgia,65,55,2021-11-22
Fredonia,Canisius,40,106,2021-11-22
Hofstra,Richmond,68,81,2021-11-22
Harvard,Siena,69,72,2021-11-22
Troy,Fla. Atlantic,83,78,2021-11-22
Eastern Ill.,Eastern Ky.,43,82,2021-11-22
South Dakota St.,Nevada,102,75,2021-11-22
Lafayette,Rutgers,53,51,2021-11-22
Albany (NY),Kentucky,61,86,2021-11-22
Western Ill.,Northern Ky.,69,67,2021-11-22
Charleston So.,Georgia Tech,70,85,2021-11-22
Coppin St.,Cleveland St.,62,65,2021-11-22
Mount St. Marys,Ohio,59,73,2021-11-22
Carver,McNeese,54,98,2021-11-22
Delaware,App State,75,68,2021-11-22
Colorado St.,Northeastern,71,61,2021-11-22
Tuskegee,Alabama St.,65,91,2021-11-22
Long Beach St.,Missouri St.,66,92,2021-11-22
Belmont,LSU,53,83,2021-11-22
Mo. Baptist,Southeast Mo. St.,63,71,2021-11-22
UTRGV,Northern Ariz.,82,80,2021-11-22
Ecclesia,Southeastern La.,79,121,2021-11-22
Tarleton St.,North Dakota St.,53,54,2021-11-22
UCLA,Bellarmine,75,62,2021-11-22
Col. of Charleston,Oklahoma St.,66,96,2021-11-22
William Carey,South Alabama,53,96,2021-11-22
Western Mich.,Iowa,61,109,2021-11-22
Florida,California,80,60,2021-11-22
Florida St.,Missouri,81,58,2021-11-22
Wyoming,Grand Canyon,68,61,2021-11-22
The Citadel,Duke,81,107,2021-11-22
Arkansas,Kansas St.,72,64,2021-11-22
Kansas City,Idaho St.,74,58,2021-11-22
Oregon,Chaminade,73,49,2021-11-22
Winthrop,Washington St.,86,92,2021-11-22
Morgan St.,San Francisco,67,83,2021-11-22
Western N.M.,New Mexico,63,88,2021-11-22
UC Riverside,UTEP,52,40,2021-11-22
George Mason,Washington,74,77,2021-11-22
Providence,Northwestern,77,72,2021-11-22
Chicago St.,Pacific,58,74,2021-11-22
Colorado Col.,CSU Bakersfield,54,99,2021-11-22
Ark.-Pine Bluff,Seattle U,56,77,2021-11-22
Santa Clara,TCU,85,66,2021-11-22
Dixie St.,Southern California,71,98,2021-11-22
Gonzaga,Central Mich.,107,54,2021-11-22
Saint Marys (CA),Notre Dame,62,59,2021-11-22
Pepperdine,Fresno St.,63,70,2021-11-23
Covenant,Chattanooga,39,100,2021-11-23
Vermont,Evansville,58,49,2021-11-23
Long Beach St.,Murray St.,43,80,2021-11-23
Wright St.,James Madison,76,78,2021-11-23
Southern Utah,Yale,88,85,2021-11-23
Middle Tenn.,Rider,60,54,2021-11-23
App State,Akron,57,45,2021-11-23
Penn,Towson,61,76,2021-11-23
Drexel,Charlotte,67,55,2021-11-23
Texas A&M,Butler,57,50,2021-11-23
Milwaukee,Bowling Green,68,82,2021-11-23
Bucknell,Mercer,68,78,2021-11-23
Quinnipiac,New Hampshire,69,84,2021-11-23
Georgia,Northwestern,62,78,2021-11-23
Bethune-Cookman,Liberty,51,59,2021-11-23
Oakland,Rice,76,73,2021-11-23
Wisconsin,Houston,65,63,2021-11-23
George Washington,Kent St.,69,77,2021-11-23
Tulane,Toledo,67,68,2021-11-23
SFA,Buffalo,79,78,2021-11-23
Central Conn. St.,Maine,64,56,2021-11-23
Nevada,George Mason,88,69,2021-11-23
Central Mich.,Bellarmine,69,76,2021-11-23
Regent,Norfolk St.,20,95,2021-11-23
LIU,Saint Peters,62,64,2021-11-23
St. Francis Brooklyn,St. Johns (NY),70,76,2021-11-23
Rhode Island,FGCU,66,67,2021-11-23
Warren Wilson,N.C. Central,32,110,2021-11-23
Spalding,IUPUI,41,61,2021-11-23
American,UMBC,67,98,2021-11-23
Lipscomb,Tennessee Tech,77,88,2021-11-23
Illinois,Kansas St.,72,64,2021-11-23
USC Upstate,South Carolina St.,82,78,2021-11-23
Columbia,Lehigh,72,79,2021-11-23
Louisiana,Marshall,79,93,2021-11-23
Wofford,South Carolina,74,85,2021-11-23
Defiance,Miami (OH),47,99,2021-11-23
UNC Asheville,North Carolina,53,72,2021-11-23
Hartford,Merrimack,60,75,2021-11-23
Jackson St.,Indiana,35,70,2021-11-23
Delaware,Fordham,81,71,2021-11-23
Virginia,Providence,58,40,2021-11-23
Presentation,South Dakota,58,99,2021-11-23
Rogers St.,Oral Roberts,31,91,2021-11-23
Oregon,Saint Marys (CA),50,62,2021-11-23
Coastal Carolina,Valparaiso,64,61,2021-11-23
Missouri St.,ETSU,76,77,2021-11-23
Cal St. Fullerton,UTRGV,67,72,2021-11-23
Kennesaw St.,Wake Forest,61,92,2021-11-23
Omaha,Texas Tech,40,96,2021-11-23
Ecclesia,Southern U.,53,109,2021-11-23
Illinois St.,Saint Louis,76,82,2021-11-23
Tennessee St.,Nebraska,73,79,2021-11-23
Oakwood,North Ala.,50,105,2021-11-23
Cincinnati,Arkansas,67,73,2021-11-23
Washington,South Dakota St.,87,76,2021-11-23
Portland,Portland St.,69,54,2021-11-23
Pacific Lutheran,Seattle U,40,89,2021-11-23
Northern Colo.,San Jose St.,74,75,2021-11-23
N.C. A&T,Stanford,65,79,2021-11-23
Gonzaga,UCLA,83,63,2021-11-23
UC Davis,Sacramento St.,63,75,2021-11-23
Notre Dame,Chaminade,90,64,2021-11-23
Akron,Evansville,69,60,2021-11-24
North Dakota,FIU,56,65,2021-11-24
Milwaukee,Yale,56,69,2021-11-24
Loyola Chicago,Michigan St.,61,63,2021-11-24
Eastern Ill.,Albany (NY),62,64,2021-11-24
Long Beach St.,Wright St.,85,76,2021-11-24
Rider,Bucknell,85,79,2021-11-24
CMSV,Holy Cross,52,95,2021-11-24
UMES,Campbell,55,66,2021-11-24
Louisiana Col.,Grambling,61,71,2021-11-24
App State,Vermont,63,65,2021-11-24
Southern Utah,Bowling Green,87,73,2021-11-24
Central Ark.,New Orleans,63,90,2021-11-24
Washington Col.,Navy,40,89,2021-11-24
Fairleigh Dickinson,NJIT,54,62,2021-11-24
Coppin St.,Canisius,75,76,2021-11-24
Stony Brook,Fairfield,78,83,2021-11-24
Murray St.,James Madison,74,62,2021-11-24
Drexel,Jacksonville St.,64,72,2021-11-24
UConn,Auburn,115,109,2021-11-24
Houston,Oregon,78,49,2021-11-24
Lamar University,UTSA,73,79,2021-11-24
Idaho,Cal Poly,63,67,2021-11-24
Western Ill.,Eastern Mich.,68,72,2021-11-24
Carver,UT Martin,43,103,2021-11-24
Elizabethtown,Loyola Maryland,42,69,2021-11-24
Middle Tenn.,Mercer,82,58,2021-11-24
Denver,Air Force,65,66,2021-11-24
VMI,Presbyterian,54,59,2021-11-24
Saint Francis (PA),Cornell,80,93,2021-11-24
Fordham,Rice,84,74,2021-11-24
St. Katherine,CSUN,62,71,2021-11-24
William & Mary,Radford,54,67,2021-11-24
Molloy,Hofstra,49,87,2021-11-24
Wisconsin,Saint Marys (CA),61,55,2021-11-24
Alabama A&M,Western Ky.,62,88,2021-11-24
Utah Valley,Nicholls,74,63,2021-11-24
Missouri St.,George Washington,72,54,2021-11-24
Valparaiso,Tulane,68,64,2021-11-24
VCU,Syracuse,67,55,2021-11-24
Seton Hall,California,62,59,2021-11-24
Buffalo,Illinois St.,106,90,2021-11-24
Xavier,Iowa St.,70,82,2021-11-24
Princeton,Monmouth,64,76,2021-11-24
Hampton,South Fla.,52,58,2021-11-24
UMass Lowell,Massachusetts,81,92,2021-11-24
Tarleton St.,Michigan,54,65,2021-11-24
Boston U.,Florida St.,80,81,2021-11-24
N.C. Wesleyan,UNC Greensboro,61,80,2021-11-24
Columbia Intl,Gardner-Webb,78,90,2021-11-24
Colgate,Harvard,84,89,2021-11-24
Southern Miss.,UNCW,80,66,2021-11-24
LeTourneau,Texas St.,47,92,2021-11-24
Nevada,Washington,81,62,2021-11-24
ULM,Louisiana Tech,74,96,2021-11-24
Delaware,Oakland,73,81,2021-11-24
Sam Houston,SMU,66,75,2021-11-24
N.M. Highlands,New Mexico St.,67,94,2021-11-24
Houston Baptist,Oklahoma,40,57,2021-11-24
LIFE Pacific,Grand Canyon,47,82,2021-11-24
Cal St. Fullerton,Northern Ariz.,73,56,2021-11-24
Coastal Carolina,Toledo,70,79,2021-11-24
ETSU,Kent St.,57,51,2021-11-24
SFA,Saint Louis,68,79,2021-11-24
Arizona St.,Baylor,63,75,2021-11-24
California Baptist,Texas,44,68,2021-11-24
Florida,Ohio St.,71,68,2021-11-24
Butler,Chaminade,84,51,2021-11-24
Texas Southern,BYU,64,81,2021-11-24
Vanderbilt,Pittsburgh,68,52,2021-11-24
Florida A&M,UTEP,53,67,2021-11-24
Jacksonville,Minnesota,44,55,2021-11-24
Whittier,UNLV,45,101,2021-11-24
UC San Diego,Montana,61,71,2021-11-24
George Mason,South Dakota St.,76,80,2021-11-24
Memphis,Virginia Tech,69,61,2021-11-24
Ark.-Pine Bluff,UC Santa Barbara,58,86,2021-11-24
TCU,Pepperdine,73,64,2021-11-24
Texas A&M,Notre Dame,73,67,2021-11-24
Fresno St.,Santa Clara,59,52,2021-11-25
Dayton,Miami (FL),76,60,2021-11-25
UConn,Michigan St.,60,64,2021-11-25
South Alabama,San Diego,68,67,2021-11-25
Presbyterian,New Orleans,68,66,2021-11-25
North Texas,Kansas,59,71,2021-11-25
Auburn,Loyola Chicago,62,53,2021-11-25
UIC,Hawaii,80,88,2021-11-25
VMI,Central Ark.,73,67,2021-11-25
Alabama,Iona,68,72,2021-11-25
Baylor,VCU,69,61,2021-11-25
UAB,New Mexico,86,73,2021-11-25
UC San Diego,Southern Miss.,55,56,2021-11-25
Richmond,Maryland,80,86,2021-11-25
Belmont,Drake,74,69,2021-11-25
Arizona St.,Syracuse,84,92,2021-11-25
Southern California,Saint Josephs,70,55,2021-11-25
San Francisco,Towson,71,61,2021-11-25
Mississippi St.,Louisville,58,72,2021-11-25
Georgetown,San Diego St.,56,73,2021-11-26
Miami (FL),North Texas,69,63,2021-11-26
Baylor,Michigan St.,75,58,2021-11-26
Ga. Southern,Georgia Tech,59,61,2021-11-26
McNeese,St. Francis Brooklyn,71,59,2021-11-26
Southeast Mo. St.,UIW,79,76,2021-11-26
Samford,N.C. A&T,77,75,2021-11-26
VCU,UConn,63,70,2021-11-26
Dayton,Kansas,74,73,2021-11-26
VMI,New Orleans,71,79,2021-11-26
Bryant,Brown,65,59,2021-11-26
Charleston So.,Clemson,59,91,2021-11-26
Omaha,Purdue,40,97,2021-11-26
Columbia,Boston College,60,73,2021-11-26
Tennessee Tech,Tennessee,69,80,2021-11-26
Austin Peay,Howard,69,67,2021-11-26
Portland,Montana St.,66,69,2021-11-26
UIC,San Diego,52,64,2021-11-26
Mississippi Val.,Ole Miss,58,73,2021-11-26
Longwood,Old Dominion,61,62,2021-11-26
Concordia (MI),Ohio,68,88,2021-11-26
Oklahoma St.,Oral Roberts,78,77,2021-11-26
Presbyterian,Central Ark.,75,66,2021-11-26
Southeastern La.,Purdue Fort Wayne,66,74,2021-11-26
Syracuse,Auburn,68,89,2021-11-26
Alabama,Drake,80,71,2021-11-26
Northern Ky.,DePaul,68,77,2021-11-26
Florida A&M,UC Riverside,49,60,2021-11-26
Portland St.,Iowa,51,85,2021-11-26
Lehigh,Virginia,43,61,2021-11-26
Penn St.,LSU,63,68,2021-11-26
North Florida,Kentucky,52,86,2021-11-26
Eastern Ky.,West Virginia,77,80,2021-11-26
Western Mich.,FGCU,67,77,2021-11-26
Xavier,Virginia Tech,59,58,2021-11-26
Arizona St.,Loyola Chicago,59,77,2021-11-26
Iona,Belmont,65,72,2021-11-26
Hawaii,South Alabama,69,72,2021-11-26
Alcorn,Southern Ill.,59,62,2021-11-26
UTRGV,Illinois,85,94,2021-11-26
Little Rock,Tulsa,63,77,2021-11-26
Morehead St.,Arkansas St.,75,51,2021-11-26
Wichita St.,Missouri,61,55,2021-11-26
CSU Bakersfield,Boise St.,46,39,2021-11-26
Hastings,Wyoming,59,108,2021-11-26
Towson,New Mexico,73,58,2021-11-26
Saint Josephs,Georgetown,77,74,2021-11-26
Southern Miss.,Montana,62,74,2021-11-26
Oregon St.,Wake Forest,77,80,2021-11-26
Iowa St.,Memphis,78,59,2021-11-26
Ark.-Pine Bluff,Pacific,50,74,2021-11-26
Gonzaga,Duke,81,84,2021-11-26
San Francisco,UAB,63,61,2021-11-26
Southern California,San Diego St.,58,43,2021-11-26
Louisville,Maryland,63,55,2021-11-27
St. Francis Brooklyn,N.C. A&T,67,73,2021-11-27
Jackson St.,Louisiana,75,70,2021-11-27
Saint Peters,Providence,71,85,2021-11-27
Montana St.,UIW,83,64,2021-11-27
Mississippi St.,Richmond,82,71,2021-11-27
Indiana St.,Ball St.,75,97,2021-11-27
Coppin St.,East Carolina,68,70,2021-11-27
Marist,Army West Point,61,65,2021-11-27
Fisher,UMass Lowell,38,101,2021-11-27
Jacksonville St.,Elon,93,81,2021-11-27
UT Martin,Western Ky.,66,81,2021-11-27
McNeese,Samford,75,83,2021-11-27
Detroit Mercy,Hofstra,84,98,2021-11-27
Chowan,High Point,60,90,2021-11-27
Monmouth,Cincinnati,61,59,2021-11-27
UNI,St. Bonaventure,90,80,2021-11-27
Navy,Mount St. Marys,67,40,2021-11-27
Louisiana Tech,NC State,81,90,2021-11-27
Western Caro.,Gardner-Webb,59,87,2021-11-27
Delaware St.,LIU,65,99,2021-11-27
Robert Morris,Davidson,70,88,2021-11-27
South Dakota,Nebraska,70,83,2021-11-27
Milligan,Mercer,49,88,2021-11-27
Oklahoma,UCF,65,62,2021-11-27
Rutgers,Massachusetts,83,85,2021-11-27
